species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Stenalia gridelli;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Stenalia hispana;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Stenalia lindbergi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Stenalia merkli;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Stenalia stipae;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Stenalia testacea;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;13;14;1;FE;;1139934
Tolida artemisiae;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Tomoxia bucephala;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE,iNat;28;47;2;FE;;318249
Variimorda argyropleura;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Variimorda basalis;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;4;6;1;FE;;600097
Variimorda briantea;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Variimorda caprai;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Variimorda fagniezi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Variimorda hladili;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Variimorda krikkeni;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Variimorda mendax;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;7;8;1;;;471085
Variimorda quomoi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Variimorda ragusai;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Variimorda theryi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Variimorda villosa;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE,iNat;9;17;2;FE;;312582
